,institutionname,institution_type2,coord1D_horizontal axis
76,Quisquam voluptatem,Type A,0.21896478789114993
77,Numquam modi,Type A,-0.08957572880989256
78,Dolor dolore,Type A,0.37571162906605793
79,Velit quiquia,Type A,0.03411175674478889
80,Ipsum est,Type B,-0.4051107199360266
81,Amet dolorem,Type A,0.24753450500253493
82,Numquam est,Type A,0.5712404204562187
83,Dolore neque,Type A,0.4184688358153813
84,Magnam eius,Type A,-0.019576639212687874
85,Aliquam est,Type A,0.3319360425022909
86,Est etincidunt,Type A,0.15588642813232645
87,Neque quisquam,Type C,0.1689801688215975
88,Quiquia modi,Type A,0.518770300598767
89,Velit neque,Type A,0.99
90,Modi quisquam,Type A,0.18422826282945673
91,Dolorem amet,Type A,0.5841898002803617
92,Amet quiquia,Type A,-0.36376688717884537
93,Quiquia dolore,Type A,0.41862014099107225
94,Labore modi,Type A,0.518963383218835
95,Labore est,Type A,0.16632928156699087
96,Voluptatem quiquia,Type A,0.4531824554032442
97,Ipsum etincidunt,Type A,0.99
98,Magnam sit,Type A,0.6076220244040138
99,Sed modi,Type A,0.25564849709982446
100,Ipsum ipsum,Type A,0.3441389693819597
101,Dolore ut,Type A,0.21005840100411083
102,Sed velit,Type B,-0.3097561332249379
103,Eius adipisci,Type A,0.35535811615116586
104,Dolorem velit,Type A,0.21138150584008364
105,Eius aliquam,Type A,-0.02261677271986634
106,Sit sed,Type C,0.5411281763727589
107,Voluptatem aliquam,Type A,-0.36018284151378893
108,Consectetur ut,Type B,-0.44706810557418064
109,Quaerat dolorem,Type B,-0.6726246599651748
110,Etincidunt velit,Type B,-0.4142428809406347
111,Quiquia aliquam,Type B,-0.6850762657250093
112,Non quiquia,Type A,0.7398369191321792
113,Sit est,Type A,0.8193897581602076
114,Amet tempora,Type A,0.20282877575997227
115,Eius amet,Type A,-0.029066314898448464
116,Quiquia magnam,Type A,0.07334911431516941
117,Modi adipisci,Type A,0.7760128126920764
118,Porro quisquam,Type A,0.4537005473199314
119,Amet dolor,Type A,-0.45011112947818527
120,Modi magnam,Type A,0.6033990927819008
121,Voluptatem ut,Type A,0.4713732576041002
122,Ut quisquam,Type A,0.9380501800006769
123,Dolor quaerat,Type B,-0.2453042558497634
124,Non eius,Type A,-0.11082741642555904
125,Ut amet,Type A,0.19108053814651582
126,Neque ipsum,Type A,0.28694491246026194
127,Adipisci numquam,Type A,-0.02627791792482087
128,Non non,Type A,0.33356287478928065
129,Magnam amet,Type A,0.1348793535422827
130,Ut aliquam,Type A,-0.19500423544543088
131,Dolorem ut,Type A,0.31855978295857273
132,Dolorem quiquia,Type A,0.651748404949885
133,Modi ipsum,Type A,-0.3800569124836562
134,Aliquam neque,Type B,-0.7949355077291924
135,Labore dolorem,Type B,-0.8467831678951847
136,Labore porro,Type A,-0.8067229100876954
137,Non numquam,Type A,-0.3374858986525819
138,Ipsum non,Type A,0.6146025862485798
139,Voluptatem ipsum,Type A,0.41149354001412114
140,Dolor neque,Type A,-0.4929169892794059
141,Quiquia quisquam,Type B,-0.28289361755682707
142,Dolore porro,Type C,-0.19209635192465727
143,Aliquam quaerat,Type A,0.7914571035869362
144,Ipsum amet,Type A,0.5667443022990071
145,Amet consectetur,Type A,-0.1497872971873307
146,Magnam sed,Type B,-0.3398185594466163
147,Labore eius,Type B,-0.9849953917712161
148,Numquam eius,Type A,0.1650486510057811
149,Dolorem quaerat,Type A,0.99
150,Quiquia est,Type A,0.7848336448558206
151,Tempora quaerat,Type A,0.28824888594682313
152,Sed etincidunt,Type A,-0.25824082567395096
153,Dolor modi,Type A,-0.07871838747995646
154,Amet ut,Type A,0.15497584792863323
155,Aliquam velit,Type A,0.7399685836711056
156,Adipisci adipisci,Type A,0.7097645463165023
157,Velit est,Type A,-0.3570161885494813
158,Voluptatem dolore,Type B,-0.40351071980090714
159,Dolorem dolorem,Type A,0.40399321651769987
160,Quisquam non,Type B,-0.7728681737467913
161,Sit adipisci,Type B,-0.6563525590581148
162,Eius magnam,Type A,0.17611401947026586
163,Velit quaerat,Type A,0.10515218446051844
164,Quisquam numquam,Type A,0.2585890903464151
165,Dolorem eius,Type A,0.1680019590957421
166,Non dolore,Type B,-0.3316156622951419
167,Sit ipsum,Type A,-0.7442247682715979
168,Dolorem est,Type A,0.29691264036675663
169,Ut dolorem,Type B,-0.6893613125411834
170,Labore tempora,Type A,0.42902148394690304
171,Quiquia dolor,Type A,-0.9723351183683184
172,Labore consectetur,Type A,0.14630438732031587
173,Eius etincidunt,Type A,0.2674576902811244
174,Etincidunt quaerat,Type A,0.20094698616443252
175,Velit labore,Type A,-0.15161199849706564
176,Aliquam aliquam,Type A,0.8068296194458942
177,Dolore ipsum,Type B,-0.7226043162616915
178,Adipisci sed,Type B,-0.6317388023561796
179,Dolore dolore,Type B,0.0915645136763592
180,Velit eius,Type A,-0.08738486714934507
181,Est quaerat,Type A,0.6086527537865642
182,Voluptatem consectetur,Type A,0.49444770041195446
183,Quiquia etincidunt,Type A,0.5372120827210776
184,Quisquam ut,Type A,-0.1216604576944762
185,Aliquam dolore,Type A,0.4926971221296932
186,Velit tempora,Type B,-0.4626321738955619
187,Est aliquam,Type A,-0.011386193377143305
188,Adipisci consectetur,Type A,0.853139686089118
189,Neque quaerat,Type A,0.5319703681482543
190,Tempora dolor,Type A,0.26406995979620335
191,Ut ut,Type A,0.1673795680034482
192,Sed magnam,Type B,-0.04497254869797951
193,Eius est,Type B,0.14408881507152016
194,Numquam tempora,Type A,-0.20599431969170662
195,Tempora porro,Type A,0.4597443384986364
196,Dolorem etincidunt,Type A,0.99
197,Voluptatem neque,Type A,-0.19832683627393133
198,Porro aliquam,Type A,0.6776221423494445
199,Eius neque,Type A,0.04636059252878916
200,Aliquam quisquam,Type A,0.22725020701017787
201,Dolorem magnam,Type A,0.37156073283206037
202,Tempora magnam,Type A,0.41991815077315686
203,Consectetur sit,Type A,0.10328508063992209
204,Consectetur voluptatem,Type A,0.22897157570781637
205,Non porro,Type A,0.2176096747199192
206,Magnam voluptatem,Type A,0.667482027659082
207,Magnam numquam,Type A,0.1242957511758882
208,Neque magnam,Type A,0.19954270959832948
209,Sit dolor,Type A,-0.21098911607990828
210,Etincidunt sit,Type A,0.45009263025416035
211,Porro labore,Type A,0.5730323952569409
212,Quiquia consectetur,Type A,0.17564108226888248
213,Etincidunt amet,Type A,0.6408162841104472
214,Velit porro,Type A,-0.99
215,Voluptatem est,Type A,-0.010172720353883336
216,Eius non,Type A,0.1654899893387379
217,Dolorem adipisci,Type B,-0.5507309578313794
218,Porro amet,Type A,0.99
219,Quaerat neque,Type A,0.7427277051859288
220,Consectetur dolor,Type A,0.46814104688841096
221,Neque sed,Type A,0.36091112150777294
222,Quisquam etincidunt,Type A,0.22224341803045827
223,Velit ut,Type A,0.5402838701674691
224,Quisquam porro,Type B,-0.9443255939935409
225,Quiquia numquam,Type B,-0.30263681442260004
226,Quaerat tempora,Type B,-0.5617935393354916
227,Ipsum sed,Type A,0.3972704659113511
228,Porro est,Type A,-0.8239569899559787
229,Adipisci ipsum,Type A,0.09821308680012547
230,Ipsum modi,Type A,0.47295035111965017
231,Sit etincidunt,Type A,-0.020792903951663333
232,Dolor dolorem,Type A,-0.2589680463091006
233,Quaerat aliquam,Type A,0.1900311469048781
234,Adipisci modi,Type B,-0.48854038418860407
235,Magnam ipsum,Type A,0.23726334990398062
236,Est quisquam,Type A,-0.19872956490131988
237,Etincidunt consectetur,Type A,0.3305832223845271
238,Neque numquam,Type A,-0.05027930826782567
239,Adipisci quaerat,Type A,0.5078014666804008
240,Porro modi,Type A,-0.022529679547683368
241,Tempora quiquia,Type A,0.11175276891435468
242,Est ipsum,Type A,-0.07603357332811544
243,Labore dolor,Type A,0.3560895894310678
244,Consectetur modi,Type A,-0.45895845427398246
245,Non sit,Type A,-0.23946352215114713
246,Ut numquam,Type A,0.01639838739863736
247,Quaerat quiquia,Type B,-0.36976236636698256
248,Modi consectetur,Type A,0.009910955481928774
249,Tempora eius,Type B,-0.7044474703507335
250,Etincidunt eius,Type B,-0.4423591641905001
251,Quaerat numquam,Type B,-0.4698794869289935
252,Consectetur dolore,Type B,-0.3092219324214919
253,Labore dolore,Type B,-0.13390388167250777
254,Velit etincidunt,Type A,0.4623841571436095
255,Modi numquam,Type A,0.6849198811785321
256,Est porro,Type A,-0.07469727316647906
257,Ipsum dolore,Type A,0.2857814196841058
258,Modi tempora,Type A,0.5654913385751323
259,Sed consectetur,Type B,-0.7034202855205105
260,Amet quisquam,Type A,0.09378481217944873
261,Porro dolore,Type A,0.1827772714228278
